,champs,wins,dates
366, Tahm Kench ,game-summary-victory,6/30/2018
367, Tahm Kench ,game-summary-victory,6/30/2018
368, Tahm Kench ,game-summary-defeat,6/30/2018
369, Tahm Kench ,game-summary-defeat,6/29/2018
370, Tahm Kench ,game-summary-defeat,6/29/2018
371, Tahm Kench ,game-summary-defeat,6/28/2018
372, Tahm Kench ,game-summary-defeat,6/27/2018
373, Tahm Kench ,game-summary-defeat,6/27/2018
374, Malphite ,game-summary-victory,6/27/2018
375, Malphite ,game-summary-defeat,6/25/2018
376, Tahm Kench ,game-summary-victory,6/22/2018
377, Malphite ,game-summary-victory,6/22/2018
378, Tahm Kench ,game-summary-victory,6/20/2018
379, Tahm Kench ,game-summary-victory,6/20/2018
380, Tahm Kench ,game-summary-defeat,6/20/2018
381, Tahm Kench ,game-summary-victory,6/18/2018
382, Tahm Kench ,game-summary-defeat,6/18/2018
383, Malphite ,game-summary-defeat,6/17/2018
384, Tahm Kench ,game-summary-victory,6/17/2018
385, Tahm Kench ,game-summary-victory,6/17/2018
386, Tahm Kench ,game-summary-defeat,6/17/2018
387, Tahm Kench ,game-summary-victory,6/16/2018
388, Tahm Kench ,game-summary-victory,6/16/2018
389, Tahm Kench ,game-summary-defeat,6/16/2018
390, Tahm Kench ,game-summary-victory,6/14/2018
391, Tahm Kench ,game-summary-victory,6/14/2018
392, Tahm Kench ,game-summary-defeat,6/14/2018
393, Tahm Kench ,game-summary-defeat,6/13/2018
394, Tahm Kench ,game-summary-victory,6/13/2018
395, Tahm Kench ,game-summary-defeat,6/12/2018
396, Alistar ,game-summary-victory,6/12/2018
397, Tahm Kench ,game-summary-victory,6/11/2018
398, Tahm Kench ,game-summary-defeat,6/11/2018
399, Tahm Kench ,game-summary-defeat,6/10/2018
400, Tahm Kench ,game-summary-defeat,6/10/2018
401, Tahm Kench ,game-summary-victory,6/10/2018
402, Tahm Kench ,game-summary-defeat,6/9/2018
403, Tahm Kench ,game-summary-defeat,6/9/2018
404, Tahm Kench ,game-summary-victory,6/9/2018
405, Nami ,game-summary-victory,6/9/2018
406, Tahm Kench ,game-summary-victory,6/9/2018
407, Tahm Kench ,game-summary-earlysurrender,6/9/2018
408, Tahm Kench ,game-summary-victory,6/9/2018
409, Tahm Kench ,game-summary-victory,6/9/2018
410, Tahm Kench ,game-summary-defeat,6/8/2018
411, Tahm Kench ,game-summary-defeat,6/8/2018
412, Tahm Kench ,game-summary-victory,6/8/2018
413, Tahm Kench ,game-summary-victory,6/7/2018
414, Tahm Kench ,game-summary-victory,6/7/2018
415, Tahm Kench ,game-summary-defeat,6/6/2018
416, Lulu ,game-summary-defeat,6/6/2018
417, Tahm Kench ,game-summary-victory,6/4/2018
418, Tahm Kench ,game-summary-victory,6/3/2018
419, Lulu ,game-summary-defeat,6/3/2018
420, Tahm Kench ,game-summary-earlysurrender,6/3/2018
421, Tahm Kench ,game-summary-defeat,6/3/2018
422, Tahm Kench ,game-summary-victory,6/2/2018
423, Tahm Kench ,game-summary-victory,6/2/2018
424, Ornn ,game-summary-victory,6/2/2018
425, Tahm Kench ,game-summary-defeat,6/2/2018
426, Tahm Kench ,game-summary-earlysurrender,6/2/2018
427, Tahm Kench ,game-summary-victory,6/2/2018
428, Tahm Kench ,game-summary-defeat,6/2/2018
429, Tahm Kench ,game-summary-victory,6/2/2018
430, Tahm Kench ,game-summary-victory,6/2/2018
431, Tahm Kench ,game-summary-defeat,6/2/2018
432, Lulu ,game-summary-victory,5/31/2018
433, Tahm Kench ,game-summary-defeat,5/30/2018
434, Tahm Kench ,game-summary-victory,5/29/2018
435, Tahm Kench ,game-summary-victory,5/27/2018
436, Tahm Kench ,game-summary-defeat,5/27/2018
437, Tahm Kench ,game-summary-defeat,5/27/2018
438, Tahm Kench ,game-summary-defeat,5/27/2018
439, Tahm Kench ,game-summary-victory,5/27/2018
440, Tahm Kench ,game-summary-victory,5/27/2018
441, Lulu ,game-summary-defeat,5/26/2018
442, Janna ,game-summary-defeat,5/26/2018
443, Janna ,game-summary-victory,5/26/2018
444, Lulu ,game-summary-victory,5/25/2018
445, Janna ,game-summary-defeat,5/25/2018
446, Nami ,game-summary-victory,5/24/2018
447, Nami ,game-summary-earlysurrender,5/24/2018
448, Nami ,game-summary-earlysurrender,5/24/2018
449, Lulu ,game-summary-earlysurrender,5/24/2018
450, Lulu ,game-summary-defeat,5/22/2018
451, Janna ,game-summary-defeat,5/22/2018
452, Lulu ,game-summary-victory,5/21/2018
453, Lulu ,game-summary-defeat,5/21/2018
454, Lulu ,game-summary-defeat,5/21/2018
455, Lulu ,game-summary-defeat,5/21/2018
456, Lulu ,game-summary-victory,5/20/2018
457, Lulu ,game-summary-victory,5/20/2018
458, Bard ,game-summary-defeat,5/20/2018
459, Lulu ,game-summary-defeat,5/20/2018
460, Janna ,game-summary-defeat,5/20/2018
461, Janna ,game-summary-victory,5/20/2018
462, Janna ,game-summary-defeat,5/20/2018
463, Bard ,game-summary-defeat,5/19/2018
464, Janna ,game-summary-victory,5/17/2018
465, Lulu ,game-summary-defeat,5/17/2018
466, Lulu ,game-summary-victory,5/16/2018
467, Janna ,game-summary-victory,5/16/2018
468, Bard ,game-summary-defeat,5/15/2018
469, Lulu ,game-summary-defeat,5/15/2018
470, Bard ,game-summary-victory,5/13/2018
471, Janna ,game-summary-defeat,5/13/2018
472, Janna ,game-summary-victory,5/13/2018
473, Nami ,game-summary-defeat,5/13/2018
474, Lulu ,game-summary-defeat,5/13/2018
475, Lulu ,game-summary-victory,5/12/2018
476, Nami ,game-summary-defeat,5/12/2018
477, Janna ,game-summary-defeat,5/12/2018
478, Janna ,game-summary-victory,5/12/2018
479, Lulu ,game-summary-defeat,5/12/2018
480, Janna ,game-summary-defeat,5/12/2018
481, Lulu ,game-summary-victory,5/11/2018
482, Janna ,game-summary-defeat,5/11/2018
483, Janna ,game-summary-defeat,5/10/2018
484, Janna ,game-summary-defeat,5/10/2018
485, Janna ,game-summary-defeat,5/9/2018
486, Janna ,game-summary-victory,5/9/2018
487, Nami ,game-summary-victory,5/8/2018
488, Bard ,game-summary-victory,5/8/2018
489, Lulu ,game-summary-victory,5/8/2018
490, Ryze ,game-summary-defeat,5/8/2018
491, Janna ,game-summary-defeat,5/8/2018
492, Janna ,game-summary-defeat,5/8/2018
493, Nami ,game-summary-victory,5/8/2018
494, Janna ,game-summary-defeat,5/8/2018
495, Janna ,game-summary-victory,5/7/2018
496, Nami ,game-summary-defeat,5/7/2018
497, Nami ,game-summary-victory,5/4/2018
498, Janna ,game-summary-defeat,5/4/2018
499, Lulu ,game-summary-victory,5/3/2018
500, Janna ,game-summary-victory,5/3/2018
501, Janna ,game-summary-victory,5/3/2018
502, Janna ,game-summary-defeat,5/2/2018
503, Nami ,game-summary-defeat,5/2/2018
504, Janna ,game-summary-defeat,5/2/2018
505, Janna ,game-summary-victory,5/1/2018
506, Nami ,game-summary-victory,5/1/2018
507, Janna ,game-summary-defeat,5/1/2018
508, Janna ,game-summary-victory,5/1/2018
509, Janna ,game-summary-defeat,4/29/2018
510, Janna ,game-summary-victory,4/29/2018
511, Nami ,game-summary-defeat,4/29/2018
512, Nami ,game-summary-victory,4/29/2018
513, Nami ,game-summary-victory,4/29/2018
514, Nami ,game-summary-victory,4/28/2018
515, Nami ,game-summary-victory,4/28/2018
516, Nami ,game-summary-victory,4/28/2018
517, Janna ,game-summary-defeat,4/28/2018
518, Janna ,game-summary-victory,4/28/2018
519, Janna ,game-summary-defeat,4/27/2018
520, Lulu ,game-summary-victory,4/26/2018
521, Janna ,game-summary-victory,4/25/2018
522, Tahm Kench ,game-summary-victory,4/24/2018
523, Janna ,game-summary-victory,4/24/2018
524, Tahm Kench ,game-summary-victory,4/23/2018
525, Tahm Kench ,game-summary-defeat,4/20/2018
526, Lulu ,game-summary-defeat,4/19/2018
527, Tahm Kench ,game-summary-victory,4/19/2018
528, Tahm Kench ,game-summary-defeat,4/18/2018
529, Tahm Kench ,game-summary-defeat,4/18/2018
530, Janna ,game-summary-earlysurrender,4/18/2018
531, Tahm Kench ,game-summary-defeat,4/17/2018
532, Tahm Kench ,game-summary-defeat,4/17/2018
533, Tahm Kench ,game-summary-victory,4/16/2018
534, Janna ,game-summary-defeat,4/15/2018
535, Janna ,game-summary-victory,4/15/2018
536, Bard ,game-summary-victory,4/15/2018
537, Tahm Kench ,game-summary-defeat,4/14/2018
538, Tahm Kench ,game-summary-defeat,4/14/2018
539, Lulu ,game-summary-victory,4/14/2018
540, Lulu ,game-summary-victory,4/14/2018
541, Janna ,game-summary-defeat,4/14/2018
542, Janna ,game-summary-defeat,4/13/2018
543, Janna ,game-summary-defeat,4/13/2018
544, Janna ,game-summary-victory,4/12/2018
545, Janna ,game-summary-victory,4/12/2018
546, Janna ,game-summary-victory,4/12/2018
547, Janna ,game-summary-victory,4/11/2018
548, Janna ,game-summary-victory,4/11/2018
549, Tahm Kench ,game-summary-defeat,4/1/2018
550, Tahm Kench ,game-summary-defeat,4/1/2018
551, Tahm Kench ,game-summary-defeat,4/1/2018
552, Tahm Kench ,game-summary-victory,4/1/2018
553, Vayne ,game-summary-defeat,4/1/2018
